starter_idx,starter_smiles,status,time_seconds,error
274,C=CCCC=C1OC(=O)[C@H](C)[C@@H]1O,scaffolded,0.0,
275,C=CCCC=C1OC(=O)[C@@H](CC)C1=O,scaffolded,0.0,
276,C=CCCC=C1C=C(CCCCCC)C(=O)O1,scaffolded,0.0,
277,C=CCCC=C1OC(=O)[C@@H](CCCCCC)C1=O,scaffolded,0.0,
278,C=CCCC=C1OC(=O)[C@H](CC)[C@@H]1O,scaffolded,0.0,
279,C=CCCC=C1OC(=O)[C@H](CC=C)[C@@H]1O,scaffolded,0.0,
280,C=CCCC=C1OC(=O)[C@H](OC)C1=O,scaffolded,0.0,
281,C=CCCC=C1OC(=O)[C@H](CC=C)C1=O,scaffolded,0.0,
282,C=CCCC=C1C=C(CC=C)C(=O)O1,scaffolded,0.0,
283,C=CCCC=C1C=C(CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,scaffolded,0.0,
284,C=CCCC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
285,C=CCCC=C1OC(=O)[C@@H](CCCC)[C@@H]1O,scaffolded,0.0,
286,C=CCCC=C1OC(=O)[C@H](OC)[C@@H]1O,scaffolded,0.0,
287,C=CCCC=C1C[C@H](O)C(=O)O1,scaffolded,0.0,
288,C=CCCC=C1OC(=O)[C@H](CCCC)C1=O,scaffolded,0.0,
289,C=CCCC=C1C[C@H](C(C)C)C(=O)O1,scaffolded,0.0,
290,C=CCCC=C1OC(=O)[C@H](CCCCCC)C1=O,scaffolded,0.0,
291,C=CCCC=C1OC(=O)[C@H](C)[C@H]1O,scaffolded,0.0,
292,C=CCCC=C1OC(=O)[C@@H](CC=C)C1=O,scaffolded,0.0,
293,C=CCCC=C1OC(=O)[C@@H](O)[C@H]1O,scaffolded,0.0,
294,C=CCCC=C1OC(=O)[C@H](CCCC)[C@@H]1O,scaffolded,0.0,
295,C=CCCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
296,C=CCCC=C1OC(=O)[C@H](CCCCCC)[C@@H]1O,scaffolded,0.0,
297,C=CCCC=C1OC(=O)C(O)C1=O,scaffolded,0.0,
298,C=CCCC=C1CCC(=O)O1,scaffolded,0.0,
299,C=CCCC=C1OC(=O)[C@H](CC=C)[C@H]1O,scaffolded,0.0,
300,C=CCCC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,scaffolded,0.0,
301,C=CCCC=C1C=CC(=O)O1,scaffolded,0.0,
302,C=CCCC=C1C=C(C(C)C)C(=O)O1,scaffolded,0.0,
303,C=CCCC=C1OC(=O)[C@H](O)[C@H]1O,scaffolded,0.0,
304,C=CCCC=C1C[C@H](CC=C)C(=O)O1,scaffolded,0.0,
305,C=CCCC=C1OC(=O)[C@@H](CC)[C@H]1O,scaffolded,0.0,
306,C=CCCC=C1C=C(C)C(=O)O1,scaffolded,0.0,
307,C=CCCC=C1OC(=O)[C@@H](C(C)C)[C@H]1O,scaffolded,0.0,
308,C=CCCC=C1OC(=O)[C@@H](O)[C@@H]1O,scaffolded,0.0,
309,C=CCCC=C1C=C(CC)C(=O)O1,scaffolded,0.0,
310,C=CCCC=C1C=C(CCCC)C(=O)O1,scaffolded,0.0,
311,C=CCCC=C1OC(=O)[C@@H](C)[C@@H]1O,scaffolded,0.0,
312,C=CCCC=C1OC(=O)[C@H](CCCCCC)[C@H]1O,scaffolded,0.0,
313,C=CCCC=C1C[C@H](CCCC)C(=O)O1,scaffolded,0.0,
314,C=CCCC=C1OC(=O)[C@H](CC)[C@H]1O,scaffolded,0.0,
315,C=CCCC=C1C=C(O)C(=O)O1,scaffolded,0.0,
316,CCCC=C1OC(=O)[C@@H](C)[C@H]1O,scaffolded,0.0,
317,CCCC=C1OC(=O)[C@H](O)C1=O,scaffolded,0.0,
318,CCCC=C1OC(=O)CC1=O,scaffolded,0.0,
319,CCCC=C1C[C@H](CC)C(=O)O1,scaffolded,0.0,
320,CCCC=C1OC(=O)[C@H](C(C)C)[C@H]1O,scaffolded,0.0,
321,CCCC=C1OC(=O)[C@H](OC)[C@H]1O,scaffolded,0.0,
322,C=CC[C@@H]1C(=O)OC(=CCCC)[C@H]1O,scaffolded,0.0,
323,CCCC=C1OC(=O)[C@H](C)C1=O,scaffolded,0.0,
324,CCCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
