SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
NC(=[NH2+])NCC=C1OC(=O)[C@@](CCCO)(CCCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NCC(CO)=C1OC(=O)[C@H](CCCCO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC(CCO)=C1OC(=O)[C@H](CCCCO)C1=O,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NCC(CCCO)=C1OC(=O)[C@H](CCCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NC(C=C1OC(=O)[C@H](CCCCO)C1=O)CO,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NC(C=C1OC(=O)[C@H](CCCCO)C1=O)CCO,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NC(C=C1OC(=O)[C@H](CCCCO)C1=O)CCCO,False,C14H24N3O5+,314.171,22
CC[C@]1(C(C)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O4+,256.1292,18
C,False,CH4,16.0313,1
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC=O)C1=O,False,C10H14N3O4+,240.0979,17
CC=O,False,C2H4O,44.0262,3
COC(C)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C12H20N3O4+,270.1448,19
CC(=O)OC(C)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C13H20N3O5+,298.1397,21
CC(Cl)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H17ClN3O3+,274.0953,18
CC(O)(O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)C(O)C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)CC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)CC[C@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)CC[C@H]1C(=O)OC(=CC(O)NC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)CC[C@H]1C(=O)OC2(OC2CNC(N)=[NH2+])C1=O,False,C11H18N3O5+,272.1241,19
CC(O)CC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])C1=O,False,C11H20N3O5+,274.1397,19
CC(O)CC[C@@H](C(=O)O)C(=O)C(O)=CCNC(N)=[NH2+],False,C11H20N3O5+,274.1397,19
CC(O)(O)CC[C@@H]1C(=O)C(=CCNC(N)=[NH2+])OC1O,False,C11H20N3O5+,274.1397,19
CC(O)(O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C11H20N3O5+,274.1397,19
CC(O)C(O)C[C@@H]1C(=O)C(=CCNC(N)=[NH2+])OC1O,False,C11H20N3O5+,274.1397,19
CC(O)C(O)C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C11H20N3O5+,274.1397,19
CC(O)CC(O)[C@@H]1C(=O)C(=CCNC(N)=[NH2+])OC1O,False,C11H20N3O5+,274.1397,19
CC(O)CC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C11H20N3O5+,274.1397,19
CC(O)CC[C@@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C11H20N3O5+,274.1397,19
CC(O)CC[C@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C11H20N3O5+,274.1397,19
